University/College,Ratings,Reviews,Source 
GIMS Noida,"4.0
/5","We have one faculty for ten students. Dr. Mudit Tomar.(Marketing) Dr. Nishant Kumar.(marketing) Prof. vibhash the speci Jha.(HR) Dr. Ranu Srivastava(learning, and development). Dr. Deepak Bansal(finance) Dr. Imaad Ali ( supply chain management)",Collegedunia
JMC Trichy,"4.2
/5",70% faculties are friendly one 30% faculties are strict and sometimes rude.most of 70% faculties provide books to us sometime snacks some time counselling and career guidance to us.best faculties are teach lessons clearly and answer to our doubts still we are able to clearly understood the concept and they have to be regular and punctual to all classes dont waste our time in class hours.sometimes crazy talks are fine but 95% class should be productive.some of faculties i didint like they are irregular class just teach shallowly keep vengence and harsh words to students.90%crack exams some urregular attendees and they didnt study involved in social media and unwanted stuffs.the curiculum is good.,Collegedunia
Delhi Metropolitan Education Noida,"4.3
/5","The college provides us with placements. They starts making us placement ready from the very first year. From the first semester students be there for externship and from the second semester they can sit for the placements. Various companies visits our campus (Amazon, Cocentrix, airtel) and the average package from our college is around 7 LPA. My future plans after getting this degree is I'll prepare for CAT to do my MBA. Also the college has a higher education cell which helps the students to solve there doubts.",Collegedunia
Delhi University,"3.1
/5","Annual fees for my course is 33,145/- Rupees. Here is the breakdown of this annual fees that I paid for my course:- 1) Tution fees-?180 2) Admission fee-?5 3) Lab fee-?500 4)I card-?250.....so on...Total comes out to be ?33145.. Although there is not much difference between my fees and my other batchmates who are from other categories. Our college and university provides various scholarships based on merit and categories. Some of them are:- 1) Shri H R. Sabharwal price 2) Shrimati Indra Kapoor Price 3) Mata Bhagwan Devi price ....etc. 2)",Collegedunia
Delhi Metropolitan Education Noida,"4.4
/5",Its reqlly good. We have cultural fest known as Aloha. We have sports fest known as Samagrah. In both these events thete is good exposure and opportunities to interact and connect with people and there are many cause driven clubs/societies in college,Collegedunia
Motilal Nehru Evening College,"3.8
/5",Faculty members of our college are very good and helpful. Course structure- we have 3 main course related subjects and 4 additional valued added course. Exams are held every sem wise( we have 6 sems in general). Exams are pretty medium most of the students pass easily.,Collegedunia
Vidyalankar School of Information Technology Mumbai,"4.4
/5","The tution fees in my college is10000, fees also include an additional fees of library gymkhana and laboratory fees of rupees 4000 . Document verification and eligiblity fees is 1500. Development and utility fees is 1350 university annual contribution fee is 220 and enrollment fees is 220 these are the fees included in the total fees and the SC and ST students get compensatition in the fees and scholarship.Mya year wise total fee is 50000 including all.",Collegedunia
Delhi Metropolitan Education Noida,"4.1
/5","I myself was a content and designing head in cipr cell and I m currently working as president of hr club. It gave me immense pleasure and a good opportunity to build my leadership skills, improve my communication skills too. Social aspect of this college there are various society it's fitoor dance society giving opportunity to present there different dance forms and styles. Cultural society they conduct cultural fest, there is sports society they organise inter and intra college fest too.",Collegedunia
Delhi Metropolitan Education Noida,"3.6
/5","The yearly fee for my course is approximately 89, 225. This includes tuition fees, registration charges, development fees, examination fees, and other basic academic charges required by the college. The fee structure is mostly fixed for the academic year, but there may be a small increase in the following years depending or university policies. Overall, the fee remains relatively stable compared to many private colleges. Students also have to pay a refundable caution deposit during admission and minor charges for activities, library and examinations during the course. Scholarships are available for students based on merit. Usually, the top three students for every course are given scholarships or fee concessions based on their academic performance. Some government scholarships are also available for students belonging to reserved categories such as SC, ST, EWS and OBC. The college itself provides scholarship to every Top 3 individuals (Yearly). These scholarships help reduce the financial burden for deserving students.",Collegedunia
Delhi Metropolitan Education Noida,"4.5
/5",Faculty members of this college are very interactive. They know what they are teaching and they are very knowledgeable. They not only focus on teaching to students but also adapt the method where students get the opportunity to teach and learn. Faculty members act as a mentor and help us throughout the college. Our conducts 2 internal examination which totals upto 40 marks and 1 external examination which is of 60 marks. Adding these two will give a sum of 100 marks. There is a system of semester in our college in which exams are held semester wise.,Collegedunia
Adithya Institute of Technology Coimbatore,"2.7
/5","Faculty were very good, solving queries at their busy schedule. I cannot mention names of the faculty i din't like but there are some because of them college was very tough There are 48 main exams overall some are really tough, but faculty will help students to get through it , with regular revisions.",Collegedunia
"Mahatma Gandhi Academic Institute, Murshidabad",3.0/5,Placements here are not as such. They do not invite comapnies for campusing or such since they do not provide professional courses. Placements are possible only if students apply in government competitive exams. Academics here is good and nice. Teaching staffs are good and co operatative . They co operate with us well and do answer our quireies whenever asked. Regular classes are held and the relevance is seen in examAcademics here is good and nice. Teaching staffs are good and co operatative . They co operate with us well and do answer our quireies whenever asked. Regular classes are held and the relevance is seen in exam,Career360 
"Kashi Institute of Technology, Varanasi",3.3/5,Placement in our college is best to make a high package or achieve a luxurious life by work on your skill and knowledge on our specialization to achieve a highest position in the company and complete your goals.Teachers are good in our college to give education on particular subject and related unit for the courses make the subject easy and interesting for the students make them comfortable on their subject.,Career360 
"Devi Ahilya Vishwavidyalaya, Indore",3.1/5,Placements are also not too good because last time from my class 30 to 40 students got placements where is the strength of the class was 150 students approx and packages are not also too good they are just okay okay.If I talk about academics and study then it is also average and poor because the faculties do not focus on students doubt too much they used to teach and go also there question paper level is very easy and ragging is normal in DAVV,Career360 
"Jangipur College, Murshidabad",3.1/5,This college doesn't provide placements. This college mainly provides general courses which don't have placements as such though student do have good skills that help them later on. Professional courses should be started,Career360 
"RNS Institute of Technology, Bangalore",3.3/5,Yeah this is the good part of this college the placements are actually very good I have seen the past records for this college and they have genuenly impressed me . The placements highest package have gone to nearly 50 lpa.The teacher are decent not to great not to bad. They will help if there is something different you need to do. Many teachers are chill and not at all strict . A good amount of cultural activites is present .,Career360 
"Christ Nagar College, Thiruvananthapuram",3.2/5,,Career360 
"Zakir Husain Delhi College, Delhi",3.0/5,"The college provides good placement opportunities for students through its dedicated placement cell. It organizes training sessions, workshops, and career guidance programs to prepare students for interviews and  professional careers. Many reputed companies visit the campus for recruitment, helping students secure internships and job opportunities after completing their studies. The academic environment of the college is well-structured and focused on student learning and development. The faculty members are knowledgeable and supportive, and the curriculum is designed to provide both theoretical understanding and practical knowledge. Regular lectures, assignments, and interactive sessions help students stay engaged and enhance their overall academic experience.",Career360 
"Anil Neerukonda Institute of Technology and Sciences, Visakhapatnam",3.3/5,Campus provide se good placement we take highest package of 32 lba and lowest package of 4 LBS and an average package of 12 lba the placement and training committee are walking to give placement and assume a 100% placement rate Tefer not supportive in our college and the curriculum is not up to date as per the industry requirement. The stepper not well knowledge. But the teachers and staff are student friendly. It is better if they are well played.,Career360 
"SIES College of Arts Science and Commerce, Mumbai",3.3/5,"I am not well aware. But as far as ik through our Ecell we give lots of students internship recently my friend was working in IIT bombay as an intern. Till now in second year I have not enough idea about placement Right Right now I am studying in SYBCOM. I chose this course because I am alternatively studying CA. As far as ik our Commerce department has one of the best teaching staff. They use speaker and mics, projectors laptops etc for teaching us the concepts well. Even this sem they took our mentoring sessions. Yes they are updated everytime, we are under compulsion to go for beach cleaning and complete our curricular in every sem. I don't know about the job thing because BCOM ain't something job ready for me now I am studying in SYBCOM. I chose this course because I am alternatively studying CA. As far as ik our Commerce department has one of the best teaching staff. They use speaker and mics, projectors laptops etc for teaching us the concepts well. Even this sem they took our mentoring sessions. Yes they are updated everytime, we are under compulsion to go for beach cleaning and complete our curricular in every sem. I don't know about the job thing because BCOM ain't something job ready for me",Career360 
"FORE School of Management, Delhi",3.0/5,"The placement cell is well-organised and communicates drive schedules well in advance. Mock interviews and aptitude sessions start from third year, which gives students adequate time to prepare. However, the variety of companies visiting is limited — most are IT service firms. Students from non-CS branches get significantly fewer opportunities. Most faculty members are knowledgeable and genuinely committed to teaching. Office hours are maintained and professors respond to queries fairly promptly. However, a few professors in core subjects still rely on decade-old notes and make no effort to update content. The inconsistency in teaching quality across faculty is frustrating.",Career360 
"Manipal University, Jaipur",3.3/5,Good companies do come but intake is limited. Companies come for both internship as well as placements. TNP cell is responsible for smooth functioning of these activities. Less than 7cgpa might result in not getting shortlisted to sit for a lot of companies. Curriculum is updated acc to the requirements of latest tech. Teachers are helpful. 75% mandatory attendance is required. Teachers emphasize more on practical and hands on learning rather than theories.,Career360 
"Zakir Husain Delhi College, Delhi",3.0/5,Placement are dismal though. You cannot depend on the college for this. The placement cell is quite disappointing. It is still somewhat salvageable if you are an econ or student. You need to do your own job hunting. The professors are nice and acclaimed in their field. Their API ratings are good. There is real pressure to be present for classes & contribute towards the academic discussion from the students' side.,Career360 
"Zakir Husain Delhi College, Delhi",3.2/5,"Placements are not so good , as it is a Delhi University college so the placement can't be very good but they can give you a average job like 3 to 4 lakh job and the placement cell also do their job in a manner to provide students internships and jobs. Academics are the best of this college as heard from other delhi university college students, about their college students the zakir hussain is very much better than them and the professors are very nice and qualified",Career360 
"Mahadeo Singh College, Bhagalpur",2.5/5,This college does not provide any placement opportunities. Most students focus on higher studies or look for a job on their own. The college mainly provides basic academic support raither than strong placement.,Career360 
"Princeton Institute of Engineering and Technology, Ghatkesar",2.0/5,"Our college provides good placement opportunities for students. The placement cell supports students with training, skill development, and interviews. Many companies visit the campus, helping students start their careers successfully.",Career360 
"Arya PG College, Panipat",3.0/5,The are a proper course and placement for the every course and all student and these placement are good for the student and all so gives tha the good approach for the student the the student are happy �..The teacher of this college are well behaved and have experience in their respected fields. They try to solve our doubts . They teach us ina very simple and concise manner. They motivate us about our career.,Career360 
"Arya PG College, Panipat",3.0/5,I generally don't know about it placement rate that much but I can it would be good as I see baner and hear for other people about its placement i generally don't try to get job right now that why can't say about it that much,Career360 
IIT Bombay,"5.0
/5",IITB is famous for their faculties. you got the famous professors who works with Govt of India and DRDO. The exams are easy if you attend classes but if you not then get ready for last night brain charge. you got open book exams but you still can't beat the professors. We got 2 semster exam every year and 2 mid-sem every year. Almost every one clears it. Sometime few student get 1-2 subject back.,Collegedunia
CCSU,"4.4
/5",I was paid semester wise. tution fees is depend upon by subject wise like Maths for 1500 in a month and class was 15 days in a month I think i expend or invest in my graduation it's may be approx 3.5L I don't remeber but i think it's was not big difference in fee. I was don't have any scholarships or financial amount i was invested my parents amount.,Collegedunia
JIMS Noida,"4.5
/5","Faculty to students ratio is pretty good. Near about 1:25, However all the faculty of this institution were exceptional talented in there subject and they make sure to deliver their best to the students. All the faculty were friendly nature and they help in carrier councelling with the students. All the faculty were punctual to classes and they make sure that each and every student in class scores good marks",Collegedunia
CSJMU,"3.8
/5",If I talk about my course with multiple options and Subjets English Grammer English Literature History Geography Economics I got 61% In Graduation and I have Great intrerested on English Subject university was located in Kanpur.,Collegedunia
AKGEC,"3.6
/5","My faculty in the ECE department was very supportive. I gained a lot of insights about different aspects, and during my final year project presentation, my faculty handed over to me the sole responsibility of the presentation, although I was not that involved in the project. The exam were simple and we knew which questions would come.",Collegedunia
JIMS Noida,"4.4
/5","The faculty members of the college are generally well qualified and experienced in their respective fields. Most professors hold postgraduate degrees such as LL.M., and some also have Ph.D. qualifications. They possess good subject knowledge and focus on both theoretical and practical understanding of law. Many faculty members encourage class discussions, case law analysis, and participation in moot courts, seminars, and presentations. They are approachable and supportive, guiding students not only academically but also in internships and career opportunities.",Collegedunia
Jamia Hamdard University Delhi,"4.0
/5",The campus faculty and the campus overall is so good and the social they are mention groups the many social media the handles that covers the around the fest around the information about it and there are many and technician festivals like their recent nodes 26 happened on the it was so good the range of book University yes many students ran social groups and the clubs I just so many groups and many ency handles around here and many influence our sense are part of this universities so it is popular kind of popular maybe,Collegedunia
KIIT,"4.4
/5","My overall experience at KIIT has been very positive.The campus infrastructure is modern with well-equipped classrooms, laboratories, and a large library that provides access to many books and journals for academic learning. The university also organizes annual cultural and technical festivals like KIITfest , which usually takes place in February and March.There are many student clubs related to coding, robotics, music, dance, and entrepreneurship where we can develop skills and interests. The campus also provides good sports facilities including cricket , football ,badminton and other indoor games.These activities helps to maintain a good balance between academic and social life.",Collegedunia
Patliputra University Patna,"3.2
/5","Time to time traditional and cultural functions are organised. Like annual function ,Holi milan Samaroh, Rangoli Competition. NCC Camp is also available and mcc training is conducted...My college,ANS College is one of the main NCC Camps Many University sports tournament is conducted time And ABVP also present to work with students and progress of college",Collegedunia
MGIT Hyderabad,"5.0
/5","We have technical festival named metallon every year in the month of February. This technical fest is all about the technical quiz , crossword , puzzle , paper presentations and poster presentations. In my college library there are plenty of books to borrow and to read.We have an ekalavya event for sports which will held very nicely",Collegedunia
Kurnool Medical College,"3.7
/5",The faculty here is very good and well experienced. They too are once mbbs students so they understands the problems and difficult in understanding the subject so they teach accordingly. And every department has their own sufficient amount of professors. And coming to the exams we have main final exam university conducting and 3 to 4 internal exams depending upon the time given for the course.,Collegedunia
Kurnool Medical College,"4.0
/5","I am paying yearly college fee of 15000/- rupees.Registration fees for my course is 10000/- rupees.In the middle of the academic year fees for the records have to be paid,it is approximately 3000/- rupees.College fees is same for all categories but registration fees is 5000 for sc,st categories and 10000 for obc and oc categories.A yearly fee reimbursement of 15000/- rupees will be available as a scholarship for eligible students.",Collegedunia
LPU,"3.6
/5","There is three type of test taken in a semester 1st is ca, continuous assessment which is taken two times for a subject in a semester. 2nd is mid sem taken 1 time in a semester 3rd is end sem taken at last of semester. MCQ in mid sem and end sem is 1/4th negative marking of that MCQ Exam fee is 4,500 for a semester.",Collegedunia
Delhi Metropolitan Education Noida,"5.0
/5",There is a proper system which followed by the each and every teacher and student like there is a proper timetable which has been followed. Proper mentoring session which help students to share there views or any difficulties with them and they solve it. After every 6 months there is external exam in between them there is semester wise internal exam so that student can prepare themselves. Every month there is Parents Teacher meet so that parents should know there behaviour.,Collegedunia
KIIT,"3.8
/5","College faculties are really supportive. If you are eager to learn something the help . 1:50 is the faculty to students ratio . However teachers are friendly with every students . We can directly visit their cabin for doubt during the working hours . Though all faculty members are good , but the one I liked the most is Amulya Ratna swain sir . He is very professional and teaches in a manner that if a student is listening his word his concept will get cleared. He is very enthusiastic and friendly with everyone with zero ego. In my opinion he is the best faculty of our college. There are two exam in a semester one is midsem and other is endsem. Midsem is of 20 marks and endsem of 50 marks . Rest 30 marks is internals that teacher gives based on class performance. Semester exams are not so hard and you can easily score 9 cgpa if you attend class regularly. Course is relevant.",Collegedunia
Sathyabama Institute of Science and Technology,"4.2
/5",Curriculums are good (it depends on depts) and they are updated and new electives/ cbcs are added thus updating curriculum and there are subject with heavy lab which don't have end sem instead lab and only internal which is not what other colleges have. they also have open book test for subjcts like programming languge so students can focus on learning the language instaed of memorizing. however as we are batch of a new regulation we are not aware of kind of questions that would come. however forthcoming batches won't be having this issue. unlike other collges only 2 internal exams and 1 semester is conducted. both the internal is given equal weightage ( having unit 1&2 and 3&4 for each exams) and retest is also conducted for internal however even if one exam not written they need to write all 4 unit incase of health issues etc. 50% internal and 50% external. so if having good internal can easlity score well in total. However if one fails to secure internal then passing the subject becomes very hard. Core subjects however prepares well for real-world. however i feel curriculums should be slightly revised so that students learn everyhting systematically instead of memorizing. Sometimes academic calendars are not given prior,Collegedunia
MNIT Jaipur,"4.3
/5","I am pursuing in Artificial intelligence and data engineering branch.I like many lectures like Vijaya Lakshmi Madam, Priyanka Madam, Dinesh gopalni sir, Kuldeep Singh Sir and many were there.I don't like Amit sir(Environment Subject) because he will be very harsh on students.The faculty to student relationship will be very good,Every lecture interact with students on campus and off campus also iff needed.Mostly all of the lectures have more than 20 years of experience.We have 8 semesters.We will have two exams in a semester.Mod exam will be in second month of semester and end exam will be in 5 th month of the semester.We have relative grading.",Collegedunia
IIT BHU,"3.6
/5","I am currently paying 2.4 lakh per year . It includes academic , hostel fee and also some other fee like examination fee , festival and many other small fee. Mess fee usually occurs around 16.5k per semester. Since i am above 5 lakh income slab so i have to pay full fee otherwise there are many fee waiver schemes . For students less than 5 lakh and more than 1 lakh they have to pay only 1/3rd of the fee and peeps less than 1 lakh income they dont have to pay academic fee but have to pay mess and some small fee. SC/St students also have same waiver schemes as of <1lakh doesnt matter the income of their household . There are many scholarship schemes like NSP , IIT BHU foundation and a lot more .",Collegedunia
NIT Patna,"4.0
/5","The campus placements are moderately good in severe times of recession like this, though branches like civil , EE, Mechanical get placed very good but cse is facing some recession, still they are placed above average compared to other colleges The students become eligible for internships from their 5th semester i.e their 3rd year and for campus placements from 3rd and 4th year in 2024 one of the final year students from cse grabbed 2cr at google and the median and average placement package is decent here 90-95% students get placed in decent companies My plans are to explore software development with interets in Machine Learning and Artificial Intelligence",Collegedunia
Delhi University,"4.0
/5","The faculty to student ratio is around 1:25. The faculty are nice and very helpful. We can approach them at any time for help. They also guide us for different programs and internships going around. The best faculties are Ms. Shikha Verma, Mrs. Sakshi Sharma, Ms. Dikscha Sapra. There are only end semester exams which are not too difficult if studied well.",Collegedunia
SRM University Chennai,"5.0
/5",campus life at Srm institute of science and technology is active and engaging with many opportunities for students.the university coducts the fest and such as Milan and Aarush ehich are usually held during the academic year and attracts many participants. The library has widels range of books journals and digital resources that support academic learning. Classrooms qre well equipped with the modern technology like projectosrs and smart boards the campus also offers good sport facilities and many student clubs and student organisations where students can participate in cultural and trchnical activities.,Collegedunia
Dhanekula Institute of Engineering and Technology Vijayawada,"5.0
/5",".Campus placements in our college usually start 6th semester and students become eligible to attend placement drives. .Many reputed companies visit our college such as tata,infosys,wipro,and tcs .This companies offered different packages roles like software developer,analyst,and technical support. .The highest package offered is around 7LPA while the average package is about 3-4 LPA. .nearly 60-70 percent students get placed every year through campus recruitment. After completing my degree,my plan is to secure a good job through campus placements and gain industry experience to build a successful career",Collegedunia
IIT BHU,"3.8
/5","This college has a lot of clubs catering interest of every type of students starting from cultural to sports to technical clubs . The college also has wonderful fests regarding the same , Kashiyatra, Technex and Spardha are the major ones .",Collegedunia
